ResponseId,ticket,Durationinseconds,Progress
R_3G8JcPeuBCQdV9r,cb09223947d18b7f_861b49d1857524a8_cc430c747a15dd31_470639b60784a81f12f1a0576073a5d0,3695,100
R_1LYBnzwmzOHyLfg,09682f674a45b7f4_861b49d1857524a8_cc430c747a15dd31_69afb2a1b986481401ba248a73447fad,19245,100
R_1E0ZwmmmcpiKVMD,6824727249067c6f_861b49d1857524a8_cc430c747a15dd31_7eec608a60ffe2c9f3040dca2a7d813e,5201,100
R_3fW5TAtqVXX8VPx,d5f546b008cc4604_861b49d1857524a8_cc430c747a15dd31_4c428ea10779478ef44f3093df05bcd8,3857,100
R_2tsrZlESnBuZk2l,f3a2fdc6575fd893_861b49d1857524a8_cc430c747a15dd31_4686199b291c218925db2b7ef25c8482,330544,100
R_NWTBfVQPEFIqRSV,355954dad4cb3f80_861b49d1857524a8_cc430c747a15dd31_5ec0556849a3b93a9dcf53cdece7e90d,5648,100
R_1FtemuKdLSdhT7v,769c2bc02db5f3d5_861b49d1857524a8_cc430c747a15dd31_9011f9946022d6e617336358bfd32694,2457,100
R_bBHM9JeVW5R3l6h,b476c0a7f8bcf0c0_861b49d1857524a8_cc430c747a15dd31_599af7e64cee95fae06ce3265034ae3f,3741,100
R_2BeShFkcsqaTU6e,561f1f65644450b7_861b49d1857524a8_cc430c747a15dd31_1475d72ced7248878c1efa4f970fd1f1,11651,100
R_1n6jjOWfqhTqaMs,1bf288249fa34893_861b49d1857524a8_cc430c747a15dd31_0c1cba9ab6e0750df4456501671c742b,2666,100
R_20NCXgDtjtVSclH,f8b09f74052dd8b2_861b49d1857524a8_cc430c747a15dd31_c9121a997be45d9f93051e07c15a1c51,131972,100
R_W7B8gtz28JXTAHv,d89073a7d7195df1_861b49d1857524a8_cc430c747a15dd31_a5d1151effb6bf036532ab3a0a5efd87,77665,100
R_yl8FPRP1KsRPH6p,877adddc77274562_861b49d1857524a8_cc430c747a15dd31_b13ac6ec6b42e5c5fae81839ab6feacf,67715,100
